epoch,accuracy,loss,val_accuracy,val_loss
0,0.5108944773674011,1.435579776763916,0.703125,0.9471771121025085
1,0.7330848574638367,0.8808101415634155,0.7747395634651184,0.7514560222625732
2,0.8038991093635559,0.6750265955924988,0.78125,0.7146324515342712
3,0.8418864607810974,0.5538525581359863,0.828125,0.6104434132575989
4,0.8699827790260315,0.47122713923454285,0.8606770634651184,0.5453087091445923
5,0.8969323635101318,0.4043043255805969,0.8528645634651184,0.5180332660675049
6,0.9063933491706848,0.36621949076652527,0.875,0.4434760808944702
7,0.9172878265380859,0.32386279106140137,0.87890625,0.4723396301269531
8,0.9221616983413696,0.3078978955745697,0.8463541865348816,0.5234423875808716
9,0.943664014339447,0.24914050102233887,0.8841145634651184,0.4357888400554657
10,0.9416571259498596,0.24434830248355865,0.8997395634651184,0.3794654905796051
11,0.9526949524879456,0.21627727150917053,0.9010416865348816,0.39993610978126526
12,0.953125,0.2105337381362915,0.8828125,0.4234413206577301
13,0.9486811757087708,0.21964478492736816,0.9010416865348816,0.3727305233478546
14,0.9638761281967163,0.16789714992046356,0.8802083134651184,0.4738289415836334
15,0.955418586730957,0.19185879826545715,0.8958333134651184,0.3992701768875122
16,0.9605791568756104,0.18509386479854584,0.8958333134651184,0.3709457218647003
17,0.9667431116104126,0.1583118587732315,0.8776041865348816,0.4505828619003296
18,0.9605791568756104,0.17094925045967102,0.8815104365348816,0.4430885314941406
19,0.9739105701446533,0.13420584797859192,0.9153645634651184,0.3348071575164795
20,0.9806479215621948,0.10967765003442764,0.89453125,0.38706597685813904
21,0.9704701900482178,0.14509417116641998,0.8776041865348816,0.47041797637939453
22,0.96487957239151,0.1553221493959427,0.8971354365348816,0.39202919602394104
23,0.9774942398071289,0.11801587790250778,0.88671875,0.4312789738178253
24,0.9727637767791748,0.1319235861301422,0.8984375,0.38804325461387634
25,0.9754874110221863,0.12066450715065002,0.9127604365348816,0.3843299448490143
26,0.9638761281967163,0.15483318269252777,0.8841145634651184,0.4346260130405426
27,0.9719036817550659,0.1281469613313675,0.9166666865348816,0.3621993362903595
28,0.9863818883895874,0.08760377764701843,0.9010416865348816,0.38955941796302795
29,0.9762041568756104,0.11564706265926361,0.9036458134651184,0.35531648993492126
